group,n,base_rate,mean_pred,flagged_rate,recall,fpr,precision,auc
Caucasian,10522,0.09066717354115188,0.09119665838455386,0.10283216118608629,0.2631027253668763,0.08685200668896322,0.23197781885397412,0.6449233731586069
AfricanAmerican,2504,0.09225239616613419,0.08623801945031732,0.09345047923322684,0.23376623376623376,0.07919049714034315,0.23076923076923078,0.6758322334653175
Unknown,361,0.060941828254847646,0.08333141370243509,0.0886426592797784,0.22727272727272727,0.07964601769911504,0.15625,0.6459506570126041
Hispanic,286,0.1048951048951049,0.08730181149031478,0.10139860139860139,0.26666666666666666,0.08203125,0.27586206896551724,0.6659505208333334
Other,229,0.048034934497816595,0.08111764298803473,0.06986899563318777,0.2727272727272727,0.05963302752293578,0.1875,0.8461217681401167
Asian,96,0.09375,0.07817282423649101,0.08333333333333333,0.3333333333333333,0.05747126436781609,0.375,0.7068965517241379
